ID,Título,Género,Año de lanzamiento,Duración,ATP,Plataformas
57,Amélie,Comedia romántica,2001,122,Si,Amazon Prime-Netflix
43,El exorcista,Terror,1973,122,No,Amazon Prime
53,Sin lugar para los débiles,Suspenso,2007,122,No,Netflix-Amazon Prime
11,Star wars: una nueva esperanza,Ciencia ficción,1977,121,Si,Disney+
30,La red social,Biográfico,2010,120,No,Netflix-Amazon Prime
42,Mad max: furia en el camino,Acción,2015,120,No,HBO Max-Amazon Prime
36,Rocky,Deportivo,1976,120,Si,Hulu-Amazon Prime
46,¿quién quiere ser millonario?,Drama,2008,120,Si,Netflix
67,Birdman,Comedia dramática,2014,119,No,Amazon Prime-Netflix
37,El silencio de los inocentes,Suspenso,1991,118,No,Netflix-HBO Max
84,Los increíbles 2,Animación,2018,118,Si,Disney+
51,El gran lebowski,Comedia,1998,117,No,Amazon Prime-Netflix
29,En busca de la felicidad,Drama,2006,117,Si,Netflix-Amazon Prime
69,Spider-man: un nuevo universo,Animación,2018,117,Si,Netflix
79,La llegada,Ciencia ficción,2016,116,Si,Amazon Prime-Netflix
35,La vida es bella,Comedia dramática,1997,116,Si,Netflix
15,Volver al futuro,Ciencia ficción,1985,116,Si,Netflix-Amazon Prime
18,Los increíbles,Animación,2004,115,Si,Disney+
61,Amnesia,Suspenso,2000,113,No,Amazon Prime-HBO Max
58,Eterno resplandor de una mente sin recuerdos,Romance,2004,108,No,Amazon Prime-Netflix
83,Zootopia,Animación,2016,108,Si,Disney+
25,Coco,Animación,2017,105,Si,Disney+
72,El joven manos de tijera,Fantástico,1990,105,Si,Disney+
52,¡huye!,Suspenso,2017,104,No,Netflix-HBO Max
50,El show de truman,Drama,1998,103,Si,Netflix-HBO Max
24,Frozen: una aventura congelada,Animación,2013,102,Si,Disney+
70,John wick: otro día para matar,Acción,2014,101,No,Amazon Prime-HBO Max
16,Buscando a nemo,Animación,2003,100,Si,Disney+
90,Enredados,Animación,2010,100,Si,Disney+
96,La gran aventura lego,Animación,2014,100,Si,Amazon Prime
32,El gran hotel budapest,Comedia dramática,2014,99,Si,Amazon Prime
87,Buscando a dory,Animación,2016,97,Si,Disney+
82,Bichos,Animación,1998,95,Si,Disney+
92,Mi villano favorito,Animación,2010,95,Si,Netflix
88,Valiente,Animación,2012,93,Si,Disney+
93,Kung fu panda,Animación,2008,92,Si,Netflix
89,Monsters inc.,Animación,2001,92,Si,Disney+
86,Toy story 2,Animación,1999,92,Si,Disney+
71,Gravedad,Ciencia ficción,2013,91,No,Amazon Prime-Netflix
97,Aladdín,Animación,1992,90,Si,Disney+
22,Shrek,Animación,2001,90,Si,Netflix-Hulu
8,El rey león,Animación,1994,88,Si,Disney+
81,Mulán,Animación,1998,88,Si,Disney+
95,La vida secreta de tus mascotas,Animación,2016,87,Si,Netflix
100,La bella y la bestia,Animación,1991,84,Si,Disney+
94,La era de hielo,Animación,2002,81,Si,Disney+
3,Toy story,Animación,1995,81,Si,Disney+
98,Cenicienta,Animación,1950,74,Si,Disney+
